elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw,velocity x,velocity y
2.3268697261810303,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6000252,-3.6008686234874006e-14,-2.1384116968776212e-16,-2.2628695205058473e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.3366661071777344,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6099627,-3.6167457656090423e-14,-2.1478404958636332e-16,-2.272847085570414e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.346614360809326,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6199598,-3.632622907730684e-14,-2.1572692948496452e-16,-2.2828246506349804e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.366058111190796,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6294417,-3.648500049852326e-14,-2.166698093835657e-16,-2.292802215699547e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.366058111190796,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6392946,-3.6643771919739674e-14,-2.176126892821669e-16,-2.3027797807641135e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.3760018348693848,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6490345,-3.680254334095609e-14,-2.185555691807681e-16,-2.31275734582868e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.3856396675109863,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.659042,-3.696131476217251e-14,-2.194984490793693e-16,-2.3227349108932466e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.40584397315979,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6692696,-3.7120086183388925e-14,-2.204413289779705e-16,-2.332712475957813e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.40584397315979,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6791875,-3.727885760460534e-14,-2.213842088765717e-16,-2.3426900410223797e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.4157702922821045,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.6894531,-3.743762902582176e-14,-2.223270887751729e-16,-2.3526676060869463e-15,-1.5877141317172452e-14,-9.428798868431468e-17
