elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering
101.96903228759766,0.0,0.0,0.0,0.0,3.9150569438934326,2.1573493480682373,1.0,0.30000001192092896,1.0
101.97824096679688,0.0,0.0,0.0,0.0,3.9155373573303223,2.1576120853424072,1.0,0.30000001192092896,1.0
101.98815155029297,0.0,0.0,0.0,0.0,3.9160141944885254,2.1578729152679443,1.0,0.30000001192092896,1.0
101.9980239868164,0.0,0.0,0.0,0.0,3.9164879322052,2.1581320762634277,1.0,0.30000001192092896,1.0
102.00829315185547,0.0,0.0,0.0,0.0,3.9169580936431885,2.1583893299102783,1.0,0.30000001192092896,1.0
102.01824188232422,0.0,0.0,0.0,0.0,3.9174249172210693,2.158644676208496,1.0,0.30000001192092896,1.0
102.0280990600586,0.0,0.0,0.0,0.0,3.917888641357422,2.15889835357666,1.0,0.30000001192092896,1.0
102.0379867553711,0.0,0.0,0.0,0.0,3.918348789215088,2.1591503620147705,1.0,0.30000001192092896,1.0
102.04812622070312,0.0,0.0,0.0,0.0,3.9188060760498047,2.159400224685669,1.0,0.30000001192092896,1.0
102.0582504272461,0.0,0.0,0.0,0.0,3.919259786605835,2.1596486568450928,1.0,0.30000001192092896,1.0
102.06827545166016,0.0,0.0,0.0,0.0,3.919710397720337,2.159895181655884,1.0,0.30000001192092896,1.0
102.0782470703125,0.0,0.0,0.0,0.0,3.9201579093933105,2.160139799118042,1.0,0.30000001192092896,1.0
102.08818054199219,0.0,0.0,0.0,0.0,3.9206020832061768,2.1603829860687256,1.0,0.30000001192092896,1.0
102.09822845458984,0.0,0.0,0.0,0.0,3.9210433959960938,2.1606242656707764,1.0,0.30000001192092896,1.0
102.10803985595703,0.0,0.0,0.0,0.0,3.9214813709259033,2.1608638763427734,1.0,0.30000001192092896,1.0
102.11787414550781,0.0,0.0,0.0,0.0,3.9219162464141846,2.161101818084717,1.0,0.30000001192092896,1.0
102.1280517578125,0.0,0.0,0.0,0.0,3.9223480224609375,2.1613380908966064,1.0,0.30000001192092896,1.0
